id,codigo,orden,idruta,regreso
4555,23060096,25,23,1
5575,23060073,9,21,0
6006,23060014,19,21,0
6396,23060015,20,21,0
6672,23060016,21,21,0
6791,23040043,22,21,0
7027,23040042,23,21,0
7124,23040044,24,21,0
7244,23040011,25,21,0
7357,23040045,1,21,1
7465,23040046,2,21,1
7603,23040047,3,21,1
7709,23060017,4,21,1
7916,23060056,5,21,1
8095,23060019,6,21,1
8246,23060082,7,21,1
8330,23060083,8,21,1
8379,23060067,3,26,0
8384,23060160,8,26,0
8389,23060164,13,26,0
8393,23060173,3,26,1
8394,23060178,8,26,1
8562,23060084,9,21,1
8576,23060159,4,26,0
8577,23060161,9,26,0
8578,23060165,14,26,0
8579,23060170,19,26,0
8580,23060174,4,26,1
8581,23060104,9,26,1
8582,23060181,13,26,1
8583,23060096,17,26,1
8584,23060098,2,23,0
8585,23060070,6,23,0
8586,23060074,10,23,0
8587,23060078,14,23,0
8588,23060272,18,23,0
8589,23050002,22,23,0
8590,23080034,26,23,0
8591,23080037,2,23,1
8592,23050008,6,23,1
8593,23060100,10,23,1
8594,23060085,14,23,1
8595,23060089,18,23,1
8596,23060093,22,23,1
8597,23060097,26,23,1
8601,23070066,33,239,0
8603,23070067,34,239,0
8605,23070001,37,239,0
8606,23070068,35,239,0
8607,23070070,38,239,0
8608,23070171,39,239,0
8609,23070002,40,239,0
8610,23070172,41,239,0
8611,23070173,42,239,0
8612,23070003,43,239,0
8613,23070004,44,239,0
8614,23070142,45,239,0
8615,23070032,46,239,0
8616,23070143,47,239,0
8617,23070139,23,239,0
8618,23070137,21,239,0
8621,23070170,31,239,0
8622,23070069,36,239,0
8623,23070144,1,239,1
8624,23070033,2,239,1
8625,23070146,3,239,1
8626,23070147,4,239,1
8627,23070010,5,239,1
8628,23070011,6,239,1
8629,23070148,7,239,1
8630,23070149,8,239,1
8631,23070074,9,239,1
8632,23070075,10,239,1
8633,23070150,11,239,1
8634,23070013,12,239,1
8636,23070077,14,239,1
8637,23070078,15,239,1
8638,23070079,16,239,1
8639,23070080,17,239,1
8640,23070081,18,239,1
8641,23070082,19,239,1
8642,23070083,20,239,1
8644,23070085,22,239,1
8645,23070169,23,239,1
8646,23070151,24,239,1
8647,23070152,25,239,1
8648,23070153,26,239,1
8649,23070154,27,239,1
8650,23070166,28,239,1
8651,23070167,29,239,1
8652,23060269,30,239,1
8653,23060240,31,239,1
8654,23060241,32,239,1
8656,23060242,33,239,1
8658,23060244,35,239,1
8659,23060245,36,239,1
8660,23060246,37,239,1
8661,23060088,38,239,1
8662,23060089,39,239,1
8663,23060090,40,239,1
8664,23060091,41,239,1
8665,23060092,42,239,1
8666,23060093,43,239,1
8667,23060094,44,239,1
8668,23060095,45,239,1
8669,23060096,46,239,1
8670,23060097,47,239,1
8671,23063999,48,239,1
8672,23070076,13,239,1
8673,23070084,21,239,1
8674,23070065,32,239,0
8675,23060243,34,239,1
8679,23060101,2,27,0
8681,23060103,4,27,0
8682,23060092,6,27,0
8683,23060093,7,27,0
8687,23060094,8,27,0
8688,23060108,12,27,0
